adduct,n_mer,charge,mass_shift
[M+H-C6H11N]+,1,1,-96.08187289989999
[M+2i-H-C6H2Cl2O2S]-,1,-1,-206.9158218061
[M-H-C6H11O4]-,1,-1,-148.07301028409998
[M+H-C10H7NO3S]+,1,1,-220.00738732189998
[M-H-CH2O2]-,1,-1,-47.0127557561
[M-H-CIO2]-,1,-1,-171.9015786921
[M+H-C8H14N2O6]+,1,1,-233.07790971589998
[M+H-CH9FO3]+,1,1,-87.04629591589999
[M+H-C11H23NO2]+,1,1,-200.1656025239
[M-H-C10H20O9]-,1,-1,-285.1180086721
[M+H+2i-CHF3]+,1,1,-66.9890482399
[M13C7-H]-,1,-1,1090.9927235479
[M+H-CH3N3O2]+,1,1,-88.0152498839
[M+H+4i-C4H8O3]+,1,1,-99.0266476639
[M-H-C10H10N2]-,1,-1,-159.0916747721
[M+H+2i-C6H8BrN3O]+,1,1,-213.9710875239
[M-H-C9H7FN2]-,1,-1,-163.0666028961
[M+H-C6H10O5]+,1,1,-161.04554696789998
[2M-H+2NH4]+,2,1,35.0603743881
[M+H-C15H18O6]+,1,1,-293.1030618439
[M-H-C14H22O6]-,1,-1,-287.14891487610004
[M+H-C10H11N3OS]+,1,1,-220.0550062099
[M+H-C15H26O3]+,1,1,-253.18091823989997
[M+2i-H-SO2]-,1,-1,-62.962466382100004
[M+H-CS]+,1,1,-42.964794237899994
[M-H-C6H10O5]-,1,-1,-163.06009987209998
[M-H-C15H24O2]-,1,-1,-237.1849064601
[M+H-C11H13N3S]+,1,1,-218.0757416539
[M+2i-H-C6H4O3]-,1,-1,-123.0166104401
[M-H-C10H10O7]-,1,-1,-243.0499291121
[M+H-C7H2N3O7]+,1,1,-238.98199795189998
[M+H-C10H9N3O]+,1,1,-186.0672854559
[M+3H]3+,1,3,3.0218293563
[M+H-C3H5NO2S2]+,1,1,-149.9688933279
[M+H-C15H20O8]+,1,1,-327.1085411479
[M+H-C11H14BrNO]+,1,1,-254.0185997159
[M+H-C2H8BrN]+,1,1,-123.9767349039
[M+H-C3H8O3]+,1,1,-91.04006766389999
[M-H-C12H13O5]-,1,-1,-238.0835749681
[M+H-C6H18O5]+,1,1,-169.10814722389998
[M-H-C2H4O3]-,1,-1,-77.0233204401
[M+H+2i-C6H5Cl2N]+,1,1,-157.9659180679
[M+H-C2H7O2]+,1,1,-62.0373280119
[M+2i-H-HF]-,1,-1,-19.006794704100002
[M+H-C18H30O4]+,1,1,-309.20713298789997
[M+H+2i-C6H10O]+,1,1,-95.0591784879
[M+H-C3H3N5O2]+,1,1,-140.0213978839
[M+H-C4H12O6]+,1,1,-155.05611165189998
[M+H-C9H12O6]+,1,1,-215.05611165189998
[M+H-C6H14O7]+,1,1,-197.06667633589998
[M+H+K]2+,1,2,39.970434552200004
[M+H-C7H10N4O3]+,1,1,-197.06801372789997
[M+H-C19H32]+,1,1,-259.24312457189995
[M-H-NO2]-,1,-1,-47.0001796921
[M+H-C4H5ClN4]+,1,1,-143.0129973879
[M+H-C23H42N2O7]+,1,1,-457.29192523189994
[M-H-C6H6]-,1,-1,-79.0542266441
[M+H+2i-C6H12ClNO]+,1,1,-146.0467552319
[M+H-C6H4NO4S]+,1,1,-184.9788268459
[M+H-C7H6N2O3]+,1,1,-165.03056559989997
[M+H-C15H24N2O]+,1,1,-247.1815869359
[M-H-C11H12O8]-,1,-1,-273.06049379610005
[M-H-C3H2O3]-,1,-1,-87.0076703761
[M+H-C15H22N2O5]+,1,1,-309.14559535189994
